country,lat,lon,site,bioregion,culture,sample.number,sample.volume,eink,emmer,newwht,ftwht,rye,barley,flax,poppy,lentil,pea,bbean,bvetch,cvetch,grpea,appear,cornus,dogw,hawth,hazel,trapa,sloe,prunus,wstraw,physal,rubus,sambuc,grape,acorn,biogroup
Hungary,47.25,17.23,Adorjánháza-Kenderáztató,pannonian,LBK,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,pannonian
Hungary,46.208121,18.705132,Alsónyék-Bátaszék (HU 2),pannonian,LBK,15,248,1,1,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,pannonian
Hungary,46.20697,18.702595,Alsónyék-Bátaszék (HU 3),pannonian,SKC,4,119.5,1,1,,,,1,,,,,,,,,,1,,,,1,,,,,,1,,,pannonian
Hungary,46.208639,18.70167,Alsónyék-Bátaszék (HU 6),pannonian,SKC,2,16,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,pannonian
Serbia,45.136,21.281,At,pannonian,SKC,10,100,1,,1,,,1,,,,,,,,,,,,,,,,1,,1,,1,,,pannonian
Hungary,46.66,17.31,Balatonszentgyörgy,pannonian,LBK,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,pannonian
Hungary,46.27,21.05,Battonya-Basarága,pannonian,SKC,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,pannonian
Hungary,46.44,16.78,Becsehely-Bükkalji dűlő,pannonian,sopot,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,pannonian
Hungary,46.48,16.84,Becsehely-Újmajori tábla,pannonian,sopot,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,pannonian
Serbia,44.577,19.718,Belotić,continental,SKC,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,continental
Serbia,44.311,21.401,Belovode,continental,SKC,7,42,1,1,1,,,1,,,1,1,,,,,1,,,,1,,1,1,,,1,,,,continental
Serbia,44.31096389,21.40083333,Belovode,continental,vinča,41,257,1,1,1,1,,1,1,,1,1,,1,,1,,1,,,1,,1,1,1,1,1,1,,,continental
Hungary,47.6,21.9,Berettyóújfalu-Nagy,pannonian,SKC,12,,1,1,,1,,1,,,1,1,,,,,1,,,,,,,,,,,1,1,1,pannonian
Hungary,47.5,18.65,Bicske-Galagonyás,pannonian,LBK,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,pannonian
Serbia,43.723,21.098,Blagotin,continental,SKC,,,1,1,,,,1,,,1,,,,,,1,1,,,,,,,,,1,,,,continental
Serbia,45.6,20.1333,Bordjoš,pannonian,vinča,,,1,1,1,,,1,,,,1,,,,,,1,,,1,1,,,,,,1,,,pannonian
Croatia,45.95,16.58,Brezovljani,pannonian,sopot,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,pannonian
Serbia,43.29,21.84,Bubanj,continental,SKC,5,50,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,continental
BaH,43.824,18.31,butmir,alpine,butmir,,,1,,,1,,1,,,1,1,,,,,1,,,,1,,,,,,,,,,continental
Serbia,44.03,20.83,Divostin I,continental,SKC,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,continental
Serbia,44.03,20.83,Divostin II,continental,vinča,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,continental
Hungary,46.4,18.17,Dombóvár-Gunaras,pannonian,LBK,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,pannonian
BaH,44.025,18.17,Donje Moštre,alpine,butmir,47,,1,1,,1,,1,1,,1,1,,,,,,1,,,1,,,,,,,1,,,continental
Serbia,43.782,21.435,Drenovac,continental,SKC,63,524.3,1,1,,,,1,,,1,1,,,,,,1,,,,,,,,1,1,1,,,continental
Serbia,43.78156389,21.43527778,Drenovac,continental,vinča,440,3672.5,1,1,1,1,,1,1,,1,1,,1,,,,1,,,,,1,,1,1,1,1,1,,continental
Hungary,47.15,20.92,Ecsegfalva,pannonian,SKC,,4756.7,1,1,,1,,1,,,1,,,,,,,,,,1,1,,,1,,,1,,,pannonian
Hungary,46.402068,18.937807,Fajsz (HU 1),pannonian,sopot,45,574.5,1,1,,,,1,,,1,,,,,,,1,1,,,,,,,,,,1,,pannonian
Hungary,46.402068,18.937807,Fajsz (HU 1),pannonian,LBK,5,86.5,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,pannonian
Hungary,46.71,17.24,Fenékpuszta-Vámház,pannonian,LBK,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,pannonian
Hungary,47.75,20.4,Füzesabony-Gubakút,pannonian,LBK,38,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,pannonian
Serbia,44.88844722,19.74833333,Gomolava,pannonian,vinča,41,,1,1,,1,,1,1,,1,1,,,,,1,1,,,,1,,,1,1,1,1,1,,pannonian
BaH,44.557,18.762,Gornja Tuzla,continental,vinča,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,continental
Croatia,45.193,19.259,Gradac-Bapska,pannonian,sopot,8,495,1,1,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,pannonian
Hungary,46.93,20.8,Gyomaendrőd,pannonian,SKC,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,pannonian
Hungary,46.92,17.53,Hegyesd-Ágói dűlő,pannonian,LBK,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,pannonian
Croatia,45.55,18.69,Hermanov Vinograd,pannonian,sopot,129,812.5,1,1,1,1,,1,,1,1,1,1,1,1,,,1,,1,1,,1,,1,1,,1,,,pannonian
Hungary,48.1,21.7,Ibrány-Nagyerdő,pannonian,SKC,45,,,,,1,,1,,1,1,1,,,,,,,,,,,,,,,,,,,pannonian
Croatia,45.32,18.38,Ivandvor-Gaj,pannonian,sopot,14,154,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,pannonian
BaH,43.64,18.97,Jagnjilo,alpine,butmir,185,,1,1,,1,,1,1,,1,1,,1,,1,1,1,1,,1,,1,,1,1,1,1,,,continental
Serbia,44.367,20.167,Jaričište 1,continental,SKC,7,55,,1,,,,1,,,1,1,,,,,,1,,,,,,,,,,,,,continental
Serbia,44.366667,20.166667,Jaričište 1,continental,vinča,2,17,,,1,,,,1,,1,,,,,,,1,,,,,,,,,,,,,continental
BaH,44.125,18.115,Kakanj,alpine,SKC,4,,1,1,,1,,1,,,,1,,,,,,1,,,,,,,,,,,,,continental
Hungary,46.38,17.81,Kaposvár-Kisapáti dűlő,pannonian,LBK,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,pannonian
Hungary,46.44,17.78,Kaposvár-Villanytelep,pannonian,LBK,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,pannonian
Hungary,46.78,17.25,Keszthely-Zsidi út,pannonian,LBK,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,pannonian
Hungary,46.65,17.39,Kéthely-Sziget,pannonian,LBK,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,pannonian
BaH,45.07,17.409,Kočićevo,continental,sopot,16,90.5,1,1,,1,,1,,,,1,,,,,,1,,,,,,,,,,,,,continental
BaH,44.69,18.29,Korića Han,continental,vinča,1,,1,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,continental
BaH,44.963,17.393,Kosjerovo,continental,sopot,26,412,1,1,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,continental
BaH,44.038,18.069,Kundruci,alpine,butmir,29,,1,1,,,,1,,,,,,,,1,,1,,,1,,,,,,1,,,,continental
BaH,45.108,17.373,Laminci Jaružani,continental,butmir,2,144,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,continental
BaH,45.114,17.362,Laminci Jaružani-Njiva,continental,butmir,2,56,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,continental
